State,Target,Date,Event
NSW,Network,2016-01-01,New Years Day
NSW,Network,2016-01-26,Australia Day 
NSW,Network,2016-03-25,Good Friday
NSW,Network,2016-03-26,Easter Saturday
NSW,Network,2016-03-27,Easter Sunday
NSW,Network,2016-03-28,Easter Monday
NSW,Network,2016-04-25,Anzac Day
NSW,Network,2016-06-13,Queens Birthday
NSW,Network,2016-10-03,Labour Day
NSW,Network,2016-12-25,Christmas Day
NSW,Network,2016-12-26,Boxing Day
NSW,Network,2016-12-27,Christmas/Boxing Day Holiday
NSW,Retailer,2016-01-01,New Years Day
NSW,Retailer,2016-01-26,Australia Day 
NSW,Retailer,2016-03-25,Good Friday
NSW,Retailer,2016-03-26,Easter Saturday
NSW,Retailer,2016-03-27,Easter Sunday
NSW,Retailer,2016-03-28,Easter Monday
NSW,Retailer,2016-04-25,Anzac Day
NSW,Retailer,2016-06-13,Queens Birthday
NSW,Retailer,2016-10-03,Labour Day
NSW,Retailer,2016-12-25,Christmas Day
NSW,Retailer,2016-12-26,Boxing Day
NSW,Retailer,2016-12-27,Christmas/Boxing Day Holiday
