"NMI","NMI_Configuration","NMI_Suffix","MDM_Id","Value","UOM","Reading_Date","Quality_Method"
"4103693793","E1K1Q1","E1","N1","7.194","KWH","11/02/2016 0:00","A"
"4103693793","E1K1Q1","K1",,"2.568","KVARH","11/02/2016 0:00","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 0:00","A"
"4103693793","E1K1Q1","E1","N1","7.746","KWH","11/02/2016 0:15","A"
"4103693793","E1K1Q1","K1",,"2.67","KVARH","11/02/2016 0:15","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 0:15","A"
"4103693793","E1K1Q1","E1","N1","7.656","KWH","11/02/2016 0:30","A"
"4103693793","E1K1Q1","K1",,"2.682","KVARH","11/02/2016 0:30","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 0:30","A"
"4103693793","E1K1Q1","E1","N1","7.29","KWH","11/02/2016 0:45","A"
"4103693793","E1K1Q1","K1",,"2.61","KVARH","11/02/2016 0:45","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 0:45","A"
"4103693793","E1K1Q1","E1","N1","7.098","KWH","11/02/2016 1:00","A"
"4103693793","E1K1Q1","K1",,"2.58","KVARH","11/02/2016 1:00","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 1:00","A"
"4103693793","E1K1Q1","E1","N1","7.074","KWH","11/02/2016 1:15","A"
"4103693793","E1K1Q1","K1",,"2.58","KVARH","11/02/2016 1:15","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 1:15","A"
"4103693793","E1K1Q1","E1","N1","7.062","KWH","11/02/2016 1:30","A"
"4103693793","E1K1Q1","K1",,"2.586","KVARH","11/02/2016 1:30","A"
"4103693793","E1K1Q1","Q1",,"0","KVARH","11/02/2016 1:30","A"
"4103693793","E1K1Q1","E1","N1","6.768","KWH","11/02/2016 1:45","A"
"4103693793","E1K1Q1","K1",,"2.52","KVARH","11/02/2016 1:45","A"
