Date,Time,kWh,kVARh,kW,kVAR,kVa,Power Factor
01/01/2015,00:00,6.15,1.206,12.3,2.412,12.5342570581587,0.98131020498711
01/01/2015,00:30,6.66,1.284,13.32,2.568,13.5652939518464,0.981918004661515
01/01/2015,01:00,6.336,1.38,12.672,2.76,12.9690863209403,0.977092779640193
01/01/2015,01:30,6.366,1.194,12.732,2.388,12.9540109618604,0.982861698315409
01/01/2015,02:00,6.48,1.158,12.96,2.316,13.1653180743953,0.984405033770779
01/01/2015,02:30,6.018,1.128,12.036,2.256,12.2456032926108,0.982883278852906
01/01/2015,03:00,6.228,1.08,12.456,2.16,12.6418985915882,0.985295238986655
01/01/2015,03:30,6.576,1.17,13.152,2.34,13.358547825269,0.98453841762429
01/01/2015,04:00,6.81,1.338,13.62,2.676,13.8803890435391,0.981240060082967
01/01/2015,04:30,5.766,1.2,11.532,2.4,11.7791001354093,0.979022776067351
01/01/2015,05:00,7.212,1.692,14.424,3.384,14.8156403844046,0.973565676161448
01/01/2015,05:30,10.998,2.676,21.996,5.352,22.6377560725439,0.971651149803937
01/01/2015,06:00,10.176,2.592,20.352,5.184,21.0018570607458,0.969057425641738
01/01/2015,06:30,11.73,2.472,23.46,4.944,23.9752956186154,0.978507280127359
01/01/2015,07:00,12.0,1.74,24.0,3.48,24.2509876087552,0.989650417013754
01/01/2015,07:30,11.808,1.92,23.616,3.84,23.9261614138165,0.987036848987053
01/01/2015,08:00,12.36,1.878,24.72,3.756,25.0037197232732,0.988652949996014
01/01/2015,08:30,15.138,2.04,30.276,4.08,30.5496710293253,0.991041674923036
01/01/2015,09:00,15.972,3.714,31.944,7.428,32.7962558838658,0.974013658786951
01/01/2015,09:30,14.79,2.574,29.58,5.148,30.0246298894757,0.985191214143203
01/01/2015,10:00,18.522,2.514,37.044,5.028,37.3836702318004,0.990913969403478
01/01/2015,10:30,20.196,2.604,40.392,5.208,40.7263649249476,0.991789925663007
01/01/2015,11:00,15.84,1.662,31.68,3.324,31.853903999353,0.994540488761231
01/01/2015,11:30,19.224,2.652,38.448,5.304,38.8121269708322,0.990618242845361
01/01/2015,12:00,18.312,2.532,36.624,5.064,36.9724383832065,0.990575627624453
01/01/2015,12:30,17.73,2.148,35.46,4.296,35.7192833074797,0.992741076925014
01/01/2015,13:00,18.834,2.22,37.668,4.44,37.9287753559221,0.993124664603894
01/01/2015,13:30,17.898,2.148,35.796,4.296,36.0528667376119,0.992875263426009
01/01/2015,14:00,18.672,2.22,37.344,4.44,37.6070206211553,0.993006099077853
01/01/2015,14:30,19.302,2.082,38.604,4.164,38.8279229421302,0.99423290356254
01/01/2015,15:00,20.712,2.334,41.424,4.668,41.6861847618609,0.993710511927186
01/01/2015,15:30,20.73,2.286,41.46,4.572,41.7113269987901,0.99397461490116
01/01/2015,16:00,20.826,2.334,41.652,4.668,41.9127617796776,0.993778540378687
01/01/2015,16:30,20.544,2.244,41.088,4.488,41.3323795588882,0.994087371091424
01/01/2015,17:00,15.876,1.35,31.752,2.7,31.8665906554184,0.996404097451335
01/01/2015,17:30,15.606,1.638,31.212,3.276,31.3834478666701,0.994536835539087
01/01/2015,18:00,14.19,1.53,28.38,3.06,28.5444915876952,0.994237361447136
01/01/2015,18:30,14.022,1.386,28.044,2.772,28.1806671319186,0.995150373170739
01/01/2015,19:00,13.566,1.488,27.132,2.976,27.294724765053,0.99403823389121
01/01/2015,19:30,13.092,1.368,26.184,2.736,26.3265569340163,0.994585086546527
01/01/2015,20:00,12.426,1.536,24.852,3.072,25.0411501333305,0.992446516517959
01/01/2015,20:30,12.054,1.692,24.108,3.384,24.344346366251,0.99029159643249
01/01/2015,21:00,11.586,1.098,23.172,2.196,23.2758243677856,0.995539390307084
01/01/2015,21:30,11.436,0.996,22.872,1.992,22.9585800954676,0.996228811340854
01/01/2015,22:00,11.46,1.344,22.92,2.688,23.0770795379311,0.993193131894601
01/01/2015,22:30,11.322,1.182,22.644,2.364,22.7670639301602,0.994594620127193
01/01/2015,23:00,10.872,1.416,21.744,2.832,21.9276537732608,0.991624806354067
01/01/2015,23:30,10.002,0.954,20.004,1.908,20.0947853932308,0.995482043076006
02/01/2015,00:00,9.576,1.032,19.152,2.064,19.2628969783883,0.99424297505652
02/01/2015,00:30,8.262,0.756,16.524,1.512,16.5930226300093,0.99583968309833
02/01/2015,01:00,8.172,0.792,16.344,1.584,16.4205846424541,0.995336442633243
02/01/2015,01:30,8.532,0.81,17.064,1.62,17.1407234386417,0.99552374631505
02/01/2015,02:00,8.25,0.624,16.5,1.248,16.5471326821296,0.997151785116365
02/01/2015,02:30,8.604,0.918,17.208,1.836,17.3056638127522,0.994356274888803
02/01/2015,03:00,10.338,1.356,20.676,2.712,20.8530956934456,0.991507097861834
02/01/2015,03:30,10.02,1.14,20.04,2.28,20.1692835767659,0.993590075905578
02/01/2015,04:00,10.686,1.374,21.372,2.748,21.5479465378954,0.991834769037013
02/01/2015,04:30,10.872,1.086,21.744,2.172,21.8522127026075,0.995048058397277
02/01/2015,05:00,12.21,1.89,24.42,3.78,24.7108235394938,0.988230924840324
02/01/2015,05:30,14.988,2.37,29.976,4.74,30.3484431231653,0.987727674012052
02/01/2015,06:00,14.904,2.676,29.808,5.352,30.2846627849808,0.984260605166375
02/01/2015,06:30,17.658,2.766,35.316,5.532,35.7466529901752,0.987952758310757
02/01/2015,07:00,16.44,2.778,32.88,5.556,33.3461182148687,0.986021843212838
02/01/2015,07:30,14.94,2.13,29.88,4.26,30.1821470409247,0.989989213142623
02/01/2015,08:00,13.776,1.812,27.552,3.624,27.7893144931645,0.991460173645783
02/01/2015,08:30,13.488,1.854,26.976,3.708,27.2296456091518,0.990684786034236
02/01/2015,09:00,14.418,1.974,28.836,3.948,29.1050098780261,0.990757265530796
02/01/2015,09:30,16.068,1.914,32.136,3.828,32.3631889652426,0.992979981274955
02/01/2015,10:00,17.256,2.388,34.512,4.776,34.8408955108792,0.990559942417984
02/01/2015,10:30,18.234,2.016,36.468,4.032,36.6902221306985,0.9939434173486
02/01/2015,11:00,14.316,1.794,28.632,3.588,28.8559387301817,0.992239442213261
02/01/2015,11:30,16.614,1.866,33.228,3.732,33.4369256960026,0.993751732896623
02/01/2015,12:00,15.996,1.962,31.992,3.924,32.2317483236637,0.992561619165058
02/01/2015,12:30,15.162,2.01,30.324,4.02,30.5892987824174,0.99132697888315
02/01/2015,13:00,14.292,1.674,28.584,3.348,28.7794093059604,0.993210244082989
02/01/2015,13:30,14.286,1.734,28.572,3.468,28.7817025208725,0.992714148526501
02/01/2015,14:00,19.512,2.802,39.024,5.604,39.4243224418632,0.989845739193808
02/01/2015,14:30,18.594,2.532,37.188,5.064,37.5312030182887,0.990855444036191
02/01/2015,15:00,20.748,2.448,41.496,4.896,41.7838341945782,0.993111341254056
02/01/2015,15:30,20.832,2.304,41.664,4.608,41.9180438474889,0.993939465655108
02/01/2015,16:00,20.478,2.568,40.956,5.136,41.2767779750309,0.992228599823374
02/01/2015,16:30,20.31,2.73,40.62,5.46,40.9853144431027,0.991086699027043
02/01/2015,17:00,18.636,2.784,37.272,5.568,37.6856046787099,0.989024929736381
02/01/2015,17:30,15.69,2.196,31.38,4.392,31.6858643562078,0.99034694610396
02/01/2015,18:00,13.104,1.746,26.208,3.492,26.439614218063,0.991239788313181
02/01/2015,18:30,12.408,1.584,24.816,3.168,25.0174019434473,0.991949779603849
02/01/2015,19:00,12.162,1.518,24.324,3.036,24.5127313859553,0.992300454469874
02/01/2015,19:30,11.778,1.578,23.556,3.156,23.7664805976821,0.991143916837122
02/01/2015,20:00,10.41,1.218,20.82,2.436,20.9620228031552,0.993224648268463
02/01/2015,20:30,10.44,1.47,20.88,2.94,21.0859668974415,0.990232039230484
02/01/2015,21:00,9.594,0.942,19.188,1.884,19.2802697076571,0.995214293728451
02/01/2015,21:30,10.062,1.278,20.124,2.556,20.2856698188647,0.992030208572039
02/01/2015,22:00,9.81,1.302,19.62,2.604,19.7920489085895,0.991307150155439
02/01/2015,22:30,9.486,1.11,18.972,2.22,19.1014449715198,0.993223310815777
02/01/2015,23:00,10.41,1.356,20.82,2.712,20.9958853111747,0.99162270563574
02/01/2015,23:30,10.62,1.644,21.24,3.288,21.4929849020558,0.988229265794977
03/01/2015,00:00,10.428,1.764,20.856,3.528,21.1522953837166,0.985992370388983
03/01/2015,00:30,9.972,1.254,19.944,2.508,20.1010745981403,0.992185761145586
03/01/2015,01:00,10.23,1.692,20.46,3.384,20.7379651846559,0.986596478640842
03/01/2015,01:30,10.194,1.872,20.388,3.744,20.7289170001715,0.983553463111282
03/01/2015,02:00,10.062,1.896,20.124,3.792,20.4781444471905,0.982705942588335
03/01/2015,02:30,9.99,1.848,19.98,3.696,20.3189763521689,0.983317233435088
03/01/2015,03:00,10.026,1.92,20.052,3.84,20.4163757802407,0.982152881830336
03/01/2015,03:30,8.268,0.9,16.536,1.8,16.633676683163,0.994127603067605
03/01/2015,04:00,8.028,0.798,16.056,1.596,16.1351293766118,0.995095924264284
03/01/2015,04:30,7.368,0.756,14.736,1.512,14.8133588358616,0.994777221344318
03/01/2015,05:00,7.242,0.408,14.484,0.816,14.506977631471,0.998416781116735
03/01/2015,05:30,9.906,0.942,19.812,1.884,19.901376836792,0.995509012390201
03/01/2015,06:00,11.586,1.446,23.172,2.892,23.3517708107972,0.992301576094553
03/01/2015,06:30,12.684,1.386,25.368,2.772,25.5190046827849,0.994082804364065
03/01/2015,07:00,12.354,1.782,24.708,3.564,24.9637176718533,0.989756299641026
03/01/2015,07:30,16.722,3.984,33.444,7.968,34.3800872599242,0.972772498874449
03/01/2015,08:00,15.42,3.192,30.84,6.384,31.493827966762,0.979239559930554
03/01/2015,08:30,18.402,2.616,36.804,5.232,37.1740285683432,0.990046103369077
03/01/2015,09:00,16.08,2.34,32.16,4.68,32.4987384370532,0.989576874262079
03/01/2015,09:30,17.754,2.364,35.508,4.728,35.8213902577775,0.991251290928367
03/01/2015,10:00,18.84,2.532,37.68,5.064,38.0187637884243,0.991089530380467
03/01/2015,10:30,21.546,2.61,43.092,5.22,43.4070132582282,0.992742785867063
03/01/2015,11:00,15.222,1.59,30.444,3.18,30.6096324708416,0.99458891147309
03/01/2015,11:30,16.992,1.404,33.984,2.808,34.099812316199,0.996603759983133
03/01/2015,12:00,17.346,1.368,34.692,2.736,34.7997183896652,0.996904553071032
03/01/2015,12:30,16.488,1.446,32.976,2.892,33.1025678762237,0.996176384625741
03/01/2015,13:00,16.854,1.392,33.708,2.784,33.8227733930853,0.996606658681434
03/01/2015,13:30,16.836,1.512,33.672,3.024,33.8075139576988,0.995991532689426
03/01/2015,14:00,20.562,2.208,41.124,4.416,41.3604206941854,0.994283881187634
03/01/2015,14:30,19.572,2.148,39.144,4.296,39.3790350313463,0.99403148336836
03/01/2015,15:00,19.818,2.094,39.636,4.188,39.8566380920418,0.994464132031014
03/01/2015,15:30,21.27,1.974,42.54,3.948,42.7228088964197,0.995721073065473
03/01/2015,16:00,19.704,2.13,39.408,4.26,39.6375831755671,0.994207921880888
03/01/2015,16:30,21.714,2.328,43.428,4.656,43.676877177747,0.994301875884206
03/01/2015,17:00,22.584,2.31,45.168,4.62,45.4036650503018,0.99480960134097
03/01/2015,17:30,20.184,2.592,40.368,5.184,40.6995036824775,0.991854942855521
03/01/2015,18:00,18.726,2.286,37.452,4.572,37.730035780529,0.992630955643536
03/01/2015,18:30,18.114,2.64,36.228,5.28,36.6107415931445,0.989545653536134
03/01/2015,19:00,16.524,2.628,33.048,5.256,33.4633530896113,0.987587892716628
03/01/2015,19:30,15.978,2.574,31.956,5.148,32.3680088976755,0.987271183134498
03/01/2015,20:00,14.904,2.658,29.808,5.316,30.2783222784883,0.984466742456669
03/01/2015,20:30,14.178,2.202,28.356,4.404,28.6959579035097,0.988153137169833
03/01/2015,21:00,13.26,2.19,26.52,4.38,26.879263382764,0.986634180496389
03/01/2015,21:30,13.692,2.466,27.384,4.932,27.8246006260647,0.984165272568233
03/01/2015,22:00,13.23,2.628,26.46,5.256,26.9769753678947,0.980836465267898
03/01/2015,22:30,12.354,2.268,24.708,4.536,25.1209155884096,0.983562751954344
03/01/2015,23:00,12.756,2.358,25.512,4.716,25.9442247908855,0.98334023103911
03/01/2015,23:30,12.192,2.256,24.384,4.512,24.7979353979318,0.983307666896884
04/01/2015,00:00,10.494,1.764,20.988,3.528,21.2824528661524,0.986164384642589
04/01/2015,00:30,10.254,1.8,20.508,3.6,20.8215753486618,0.984939810886896
04/01/2015,01:00,9.864,1.656,19.728,3.312,20.0040795839249,0.986198678226683
04/01/2015,01:30,10.626,1.884,21.252,3.768,21.5834566277045,0.984643311353559
04/01/2015,02:00,10.224,1.692,20.448,3.384,20.7261284373131,0.986581057525861
04/01/2015,02:30,10.32,1.818,20.64,3.636,20.9578147715834,0.984835392877047
04/01/2015,03:00,10.386,1.854,20.772,3.708,21.1003601864992,0.984438118434102
04/01/2015,03:30,10.644,1.728,21.288,3.456,21.5667058217058,0.987076948387388
04/01/2015,04:00,10.968,1.962,21.936,3.924,22.2842006812001,0.984374279616489
04/01/2015,04:30,10.674,1.842,21.348,3.684,21.6635454162055,0.985434519070398
04/01/2015,05:00,11.58,1.824,23.16,3.648,23.4455454191196,0.987820995773318
04/01/2015,05:30,12.354,1.974,24.708,3.948,25.0214308144039,0.987473530778996
04/01/2015,06:00,14.094,1.758,28.188,3.516,28.4064358904809,0.992310338004984
04/01/2015,06:30,14.058,2.148,28.116,4.296,28.4423135486549,0.98852725803252
04/01/2015,07:00,14.922,2.478,29.844,4.956,30.2527089696113,0.986490238507606
04/01/2015,07:30,13.35,1.89,26.7,3.78,26.9662455673755,0.990126709826538
04/01/2015,08:00,13.356,2.094,26.712,4.188,27.038306159965,0.987931513921869
04/01/2015,08:30,14.016,1.998,28.032,3.996,28.3153880425468,0.989991828998486
04/01/2015,09:00,17.208,2.268,34.416,4.536,34.7136342090539,0.991426033879993
04/01/2015,09:30,17.076,2.106,34.152,4.212,34.4107541329742,0.992480408183266
04/01/2015,10:00,17.676,1.878,35.352,3.756,35.5509718573206,0.994403257935585
04/01/2015,10:30,18.462,1.806,36.924,3.612,37.100242586808,0.995249441333216
04/01/2015,11:00,16.38,1.62,32.76,3.24,32.9198298902045,0.995144874966318
04/01/2015,11:30,17.19,1.722,34.38,3.444,34.5520708496611,0.995019982191992
04/01/2015,12:00,17.184,1.824,34.368,3.648,34.5610705852698,0.994413753135564
04/01/2015,12:30,17.214,1.866,34.428,3.732,34.6296866864256,0.994175981659637
04/01/2015,13:00,18.174,1.926,36.348,3.852,36.5515416911517,0.994431450222575
04/01/2015,13:30,18.828,1.944,37.656,3.888,37.8561857560954,0.994711912910928
04/01/2015,14:00,19.812,2.232,39.624,4.464,39.8746586192283,0.993713751611797
04/01/2015,14:30,19.968,2.19,39.936,4.38,40.1754701279276,0.994039364945765
04/01/2015,15:00,20.412,2.31,40.824,4.62,41.0845859173486,0.993657279491396
04/01/2015,15:30,19.35,2.106,38.7,4.212,38.9285345216077,0.994129335637699
04/01/2015,16:00,16.134,1.896,32.268,3.792,32.4900477069517,0.993165722712096
04/01/2015,16:30,17.166,2.142,34.332,4.284,34.5982542912211,0.992304533631764
04/01/2015,17:00,17.964,2.31,35.928,4.62,36.2238264130116,0.991833380863932
04/01/2015,17:30,16.992,2.556,33.984,5.112,34.3663323617752,0.988874798807437
04/01/2015,18:00,15.978,2.31,31.956,4.62,32.2882393449999,0.989710235960069
04/01/2015,18:30,16.176,2.226,32.352,4.452,32.6568890128867,0.99066395759389
04/01/2015,19:00,15.78,2.55,31.56,5.1,31.9694166352782,0.98719349058042
04/01/2015,19:30,14.808,2.55,29.616,5.1,30.0519150804071,0.985494677522569
04/01/2015,20:00,14.34,2.394,28.68,4.788,29.0769186813184,0.986349271459692
04/01/2015,20:30,13.128,2.058,26.256,4.116,26.5766664576278,0.987934431425147
04/01/2015,21:00,12.996,2.166,25.992,4.332,26.3505294064465,0.986393923832144
04/01/2015,21:30,12.876,2.136,25.752,4.272,26.1039384001725,0.986517885599106
04/01/2015,22:00,12.342,2.262,24.684,4.524,25.0951469411916,0.983616451049963
04/01/2015,22:30,11.166,2.1,22.332,4.2,22.7235208539522,0.982770405583144
04/01/2015,23:00,10.776,2.046,21.552,4.092,21.9370280576016,0.982448518549024
04/01/2015,23:30,9.996,1.692,19.992,3.384,20.2763803475867,0.985974893070615
05/01/2015,00:00,10.362,1.902,20.724,3.804,21.0702254378068,0.983567811357671
05/01/2015,00:30,10.698,1.704,21.396,3.408,21.6657148508883,0.987550991232201
05/01/2015,01:00,10.32,1.71,20.64,3.42,20.9214244256934,0.986548505495268
05/01/2015,01:30,10.596,1.776,21.192,3.552,21.4876150375047,0.986242572634619
05/01/2015,02:00,10.482,1.824,20.964,3.648,21.2790319328676,0.985195194317979
05/01/2015,02:30,10.218,1.752,20.436,3.504,20.7342229176789,0.985616746725233
05/01/2015,03:00,10.062,1.62,20.124,3.24,20.3831499037808,0.987285862714812
05/01/2015,03:30,10.584,1.734,21.168,3.468,21.4502121201633,0.986843765391162
05/01/2015,04:00,12.006,2.148,24.012,4.296,24.3932695635497,0.984369754497711
05/01/2015,04:30,11.154,2.088,22.308,4.176,22.6954973507963,0.982926016472708
05/01/2015,05:00,13.464,2.436,26.928,4.872,27.3651895663085,0.984023900513983
05/01/2015,05:30,16.536,3.696,33.072,7.392,33.8880332861026,0.97591970090522
05/01/2015,06:00,17.208,3.576,34.416,7.152,35.1512787818594,0.979082540808416
05/01/2015,06:30,16.494,3.36,32.988,6.72,33.6655075708061,0.979875257634895
05/01/2015,07:00,13.872,2.454,27.744,4.908,28.174775952969,0.984710581064138
05/01/2015,07:30,12.864,3.012,25.728,6.024,26.4238225849327,0.973666734608848
05/01/2015,08:00,13.638,2.724,27.276,5.448,27.8147586723308,0.98063042398074
05/01/2015,08:30,14.958,2.886,29.916,5.772,30.4677403166037,0.981891084383308
05/01/2015,09:00,14.064,2.448,28.128,4.896,28.5509229272891,0.985187066338762
05/01/2015,09:30,14.808,1.86,29.616,3.72,29.8487185654594,0.992203478632037
05/01/2015,10:00,16.002,1.896,32.004,3.792,32.2278637206998,0.993053683136419
05/01/2015,10:30,14.448,1.734,28.896,3.468,29.1033675027479,0.992874887296426
05/01/2015,11:00,12.498,1.35,24.996,2.7,25.1414001201206,0.99421669295322
05/01/2015,11:30,13.458,1.422,26.916,2.844,27.0658382467641,0.994464075925255
05/01/2015,12:00,13.608,1.26,27.216,2.52,27.3324203099543,0.99574067405595
05/01/2015,12:30,14.202,2.718,28.404,5.436,28.919495154653,0.982174756032591
05/01/2015,13:00,14.436,2.37,28.872,4.74,29.2585030375787,0.986790070316674
05/01/2015,13:30,15.258,1.938,30.516,3.876,30.7611703288415,0.992029859650615
05/01/2015,14:00,14.664,1.908,29.328,3.816,29.575219356752,0.99164108737747
05/01/2015,14:30,14.13,1.938,28.26,3.876,28.5245648520709,0.990724909919264
05/01/2015,15:00,16.188,2.058,32.376,4.116,32.6365868313462,0.992015484982367
05/01/2015,15:30,17.406,2.358,34.812,4.716,35.1299871904332,0.990948269103844
05/01/2015,16:00,17.718,3.546,35.436,7.092,36.1387105470021,0.980555124767504
05/01/2015,16:30,18.168,3.378,36.336,6.756,36.9587391559831,0.983150410543617
05/01/2015,17:00,16.164,2.592,32.328,5.184,32.7410079258413,0.987385681156191
05/01/2015,17:30,14.706,2.436,29.412,4.872,29.8127824934205,0.98655661841092
05/01/2015,18:00,12.756,2.28,25.512,4.56,25.9163191830939,0.984398945117663
05/01/2015,18:30,11.85,2.178,23.7,4.356,24.0969873635689,0.983525490075169
05/01/2015,19:00,11.706,2.304,23.412,4.608,23.8611651014782,0.981175714762141
05/01/2015,19:30,11.73,2.526,23.46,5.052,23.9977998991574,0.977589697969872
05/01/2015,20:00,12.54,3.342,25.08,6.684,25.955392503293,0.966273296666605
05/01/2015,20:30,10.854,2.16,21.708,4.32,22.1336757001633,0.980767897574469
05/01/2015,21:00,10.734,1.872,21.468,3.744,21.7920352422623,0.98513081435768
05/01/2015,21:30,10.584,1.728,21.168,3.456,21.4482726577223,0.986932880775682
05/01/2015,22:00,9.378,1.728,18.756,3.456,19.0717487399557,0.98344433727246
05/01/2015,22:30,8.514,1.59,17.028,3.18,17.3223901353133,0.983005250486085
05/01/2015,23:00,8.088,1.614,16.176,3.228,16.4949325551819,0.980664527708006
05/01/2015,23:30,7.2,0.96,14.4,1.92,14.5274361124047,0.991227900682635
06/01/2015,00:00,7.134,1.224,14.268,2.448,14.4764912876014,0.985598580193939
06/01/2015,00:30,7.272,1.206,14.544,2.412,14.7426456241748,0.98652560022829
06/01/2015,01:00,6.996,0.942,13.992,1.884,14.1182718489198,0.991056338735931
06/01/2015,01:30,7.254,1.104,14.508,2.208,14.6750536625935,0.988616193308049
06/01/2015,02:00,6.894,0.972,13.788,1.944,13.9243671310405,0.990206378912232
06/01/2015,02:30,6.792,0.996,13.584,1.992,13.7292825741187,0.989418260518487
06/01/2015,03:00,6.882,1.032,13.764,2.064,13.917887770779,0.988942676170315
06/01/2015,03:30,6.786,0.75,13.572,1.5,13.6546402369304,0.993947870235985
06/01/2015,04:00,7.452,1.092,14.904,2.184,15.0631736363888,0.989433207347023
06/01/2015,04:30,6.96,1.176,13.92,2.352,14.1173085253528,0.986023881787629
06/01/2015,05:00,7.146,1.32,14.292,2.64,14.5337813386606,0.983364033202028
06/01/2015,05:30,10.26,1.818,20.52,3.636,20.8396449106025,0.984661582289585
06/01/2015,06:00,9.786,2.094,19.572,4.188,20.0150543341756,0.977863789246411
06/01/2015,06:30,16.794,2.946,33.588,5.892,34.1008680241427,0.984960176741333
06/01/2015,07:00,14.682,3.09,29.364,6.18,30.0072791169076,0.978562512125089
06/01/2015,07:30,16.632,2.844,33.264,5.688,33.7468042931475,0.985693229084086
06/01/2015,08:00,16.422,2.322,32.844,4.644,33.1706979124649,0.990151066374429
06/01/2015,08:30,16.2,2.256,32.4,4.512,32.7126581004968,0.990442223328884
06/01/2015,09:00,15.378,2.43,30.756,4.86,31.1376171214176,0.987744209686023
06/01/2015,09:30,16.698,2.232,33.396,4.464,33.6930259846159,0.99118429932164
06/01/2015,10:00,15.936,2.184,31.872,4.368,32.1699238419988,0.990739148561748
06/01/2015,10:30,17.55,2.256,35.1,4.512,35.3888117912992,0.991838838474162
06/01/2015,11:00,15.834,2.106,31.668,4.212,31.9468809119138,0.991270496289658
06/01/2015,11:30,16.752,2.322,33.504,4.644,33.8243226096252,0.990529835275845
06/01/2015,12:00,15.87,2.202,31.74,4.404,32.0440758955536,0.990510690842457
